角色,问题,提出人,有效case,答案,agent回答,简易case,响应时长(秒),是否通过
教师,最近一次作业，还有哪些学生没有提交,刘芳,是,牛魔王、沙和尚、小白龙、猪八戒,,,,
教师,我还有哪些活动没有批阅完成,刘芳,是,1项活动,,,,
教师,最近一次测验，班级平均分是多少？,刘芳,是,7.2分,,,,
教师,找到最近三次测验都是100分的学生名字,李超,是,没有学生在最近三次测验得分都是100分,,,,
教师,找到这次考试进步最多的学生名字,李超,是,猪八戒,,,,
教师,找到这次考试退步最多的学生名字,李超,是,孙悟空,,,,
教师,最近一次测验成绩在95分以上有几个人,李超,是,0个人,,,,
教师,列下昨天前三名和后三名的作业情况,崔小邯,否,,,,,
教师,上次考试谁提升最高？,崔小邯,是,猪八戒,,,,
教师,上次的考试做错最多的是哪道题？多少人做错了？,崔小邯,否,,,,,
教师,上次考试谁下降最快？,崔小邯,是,孙悟空,,,,
教师,猪八戒上次考了第几名？,崔小邯,是,第一名,,,,
教师,上次未提交作业的学生名单,石华祥,是,牛魔王、沙和尚、小白龙、猪八戒,,,,
教师,"最近30天""讨论""类活动中零发言的学生",石华祥,是,最近30天没有讨论活动,,,,
教师,最近一次测验各分数段人数分布,石华祥,是,,,否,,
教师,最近两次考试全班学生成绩提高情况,石华祥,是,,,否,,
教师,统计过去一个月作业活动的参与人数和平均成绩,石华祥,是,过去一个月没有作业活动,,,,
教师,"""xx""活动的满分学生作品清单",石华祥,否,,,,,
老师,最近一次测验所有题目的正确率分布,石华祥,是,,,否,,
教师,显示xx活动中所有学生的成绩，从高到低排列,田志伟,是,,,否,,
教师,显示猪八戒在所有作业活动的平均分,田志伟,是,70.8分,,,,
教师,"查找在""LMS小班课 - 1""课堂活动中猪八戒的举手次数",田志伟,是,0次,,,,
教师,"统计下""苦哈哈，很头疼！！ - 23""课堂活动中的缺勤情况",田志伟,是,缺勤6人,,,,
教师,"查找""马克思主义""录播课活动中谁的观看进度小于1%",田志伟,是,牛魔王、沙和尚、小白龙,,,,
教师,"查找""站直了别趴下""作业活动中都有谁被打回重做？",田志伟,是,孙悟空,,,,
教师,统计下猪八戒补交作业的次数,田志伟,是,3次,,,,
教师,"查找""写一篇小作文""作业活动中都有谁被评为了优秀作业？",田志伟,是,孙悟空,,,,
教师,帮我统计下xx测验活动中每道题的正确率,田志伟,是,,,否,,
教师,查找下xx学生得分低于60分都有哪些活动？,田志伟,否,,,,,
教师,"查找""寒假作业""打卡活动中谁坚持打卡的天数最多？",田志伟,是,孙悟空,,,,
教师,本班级内所有学生作业类活动的平均分是多少？,张欢,是,,,否,,
教师,本班级内成绩排名前10的学生名单是什么？,张欢,是,牛魔王、沙和尚、小白龙、猪八戒、孙悟空,,,,
教师,本班级内，哪些学生没有参加任何活动？,张欢,是,小白龙、牛魔王,,,,
教师,本班级内，某次活动的成绩分布情况如何？,张欢,是,,,否,,
教师,本班级内，最近一个月参加的活动中，成绩提升最明显的是哪一类？,张欢,否,,,,,
