角色,问题,提出人,有效case,答案,agent回答,简易case,响应时长(秒),是否通过
教师,最近一次作业，还有哪些学生没有提交,刘芳,是,牛魔王、沙和尚、小白龙、猪八戒,"最近一次作业 ""盘丝洞通关"" 中，以下学生尚未提交作业：

| 学生姓名 |
| --- |
| 沙和尚 |
| 猪八戒 |
| 牛魔王 |
| 小白龙 | 

孙悟空已经提交了作业。",,22,否
教师,我还有哪些活动没有批阅完成,刘芳,是,1项活动,"抱歉, 服务过载我无法继续帮助您。请联系管理员老师。",,0,否
教师,最近一次测验，班级平均分是多少？,刘芳,是,7.2分,"最近一次测验“hd-1”的班级平均分是7.2分。以下是学生们的得分情况：

| 学生姓名 | 得分 |
| --- | --- |
| 牛魔王 | 0.0 分 |
| 小白龙 | 0.0 分 |
| 沙和尚 | 0.0 分 |
| 猪八戒 | 36.0 分 |
| 孙悟空 | 0.0 分 | 

从表格中可以看出，只有猪八戒完成了这次测验并获得了36分。其他同学可能还没有参加或提交这次测验。",,23,是
教师,找到最近三次测验都是100分的学生名字,李超,是,没有学生在最近三次测验得分都是100分,"根据最近三次测验的成绩数据，没有学生在这三次测验中都获得100分。以下是各学生的成绩详情：

| 学生姓名 | ""hd-1""成绩 | ""扈啦啦啦""成绩 | ""测验 7月12日 星期五""成绩 |
| --- | --- | --- | --- |
| 孙悟空 | 0 分 | 0 分 | 0 分 |
| 猪八戒 | 36 分 | 19 分 | 11 分 |
| 沙和尚 | 0 分 | 0 分 | 0 分 |
| 小白龙 | 0 分 | 0 分 | 0 分 |

从上表可以看出，虽然猪八戒同学表现较为优异，但也没有达到三次测验均为满分的要求。其他同学的成绩则更低，因此没有满足条件的学生。",,32,是
教师,找到这次考试进步最多的学生名字,李超,是,猪八戒,"老师，您还没有指定具体的课程和考试。以下是当前班级的课程列表，请选择一个课程以继续查询：

| 课程ID | 课程名称 |
|--------|----------|
| 195792 | 课程2     |
| 112136 | 课程1     |

请选择一个课程ID，以便我列出该课程下的单元和考试信息。",,26,否
教师,找到这次考试退步最多的学生名字,李超,是,孙悟空,"老师，以下是最近的几次考试活动，请选择您想查询的考试：

| 序号 | 考试ID   | 考试名称           |
|------|----------|--------------------|
| 1    | 32041320 | hd-1              |
| 2    | 25074293 | 测验 7月12日 星期五 |
| 3    | 23004843 | 扈啦啦啦          |

请告诉我您希望查询哪次考试的成绩退步情况。",,22,否
教师,最近一次测验成绩在95分以上有几个人,李超,是,0个人,"最近一次测验名为“测验 7月12日 星期五”，以下是成绩统计结果：

| 学生姓名 | 成绩 |
|----------|------|
| 猪八戒   | 11.0 |
| 孙悟空   | 1.99 |
| 小白龙   | 0.0  |
| 沙和尚   | 0.0  |

根据以上数据，最近一次测验成绩在95分以上的有0人。",,19,是
教师,列下昨天前三名和后三名的作业情况,崔小邯,否,,,,,
教师,上次考试谁提升最高？,崔小邯,是,猪八戒,"根据最近两次考试的成绩数据，我们可以计算每位学生的成绩提升幅度。以下是两次考试的详细信息和学生成绩：

### 最近两次考试信息
| 考试名称         | 考试ID   |
|------------------|----------|
| 测验 7月12日 星期五 | 25074293 |
| 扈啦啦啦         | 23004843 |

### 学生两次考试成绩对比
| 学生姓名 | 考试ID 23004843 成绩 | 考试ID 25074293 成绩 | 成绩提升 |
|----------|----------------------|----------------------|----------|
| 小白龙   | 0.0                 | 0.0                  | 0.0      |
| 沙和尚   | 0.0                 | 0.0                  | 0.0      |
| 猪八戒   | 19.0                | 11.0                 | -8.0     |
| 孙悟空   | 0.0                 | 1.99                 | 1.99     |

从表中可以看出，孙悟空的成绩提升了1.99分，是所有学生中提升最高的。

所以，上次考试中提升最高的学生是孙悟空。",,25,否
教师,上次的考试做错最多的是哪道题？多少人做错了？,崔小邯,否,,,,,
教师,上次考试谁下降最快？,崔小邯,是,孙悟空,"根据最近两次考试的成绩对比，以下是成绩下降最快的学生信息：

| 学生姓名 | 上次考试成绩 | 本次考试成绩 | 成绩变化 |
|----------|--------------|--------------|----------|
| 猪八戒   | 19.0         | 11.0         | -8.0     |
| 孙悟空   | 0.0          | 1.99         | +1.99    |
| 沙和尚   | 0.0          | 0.0          | 0.0      |
| 小白龙   | 0.0          | 0.0          | 0.0      |

从上表可以看出，**猪八戒**的成绩从上次的19分下降到本次的11分，下降幅度最大，为-8分。因此，猪八戒是成绩下降最快的学生。",,25,否
教师,猪八戒上次考了第几名？,崔小邯,是,第一名,"在最近一次的考试 ""hd-1"" 中，猪八戒的成绩是36分。根据成绩情况，以下是学生排名：

| 学生姓名 | 分数 | 排名 |
| --- | --- | --- |
| 猪八戒 | 36.0 | 1 |
| 孙悟空 | 0.0 | 2 |
| 沙和尚 | 0.0 | 2 |
| 小白龙 | 0.0 | 2 |
| 牛魔王 | 0.0 | 2 |

因此，猪八戒在上次考试中排第1名。",,23,是
教师,上次未提交作业的学生名单,石华祥,是,牛魔王、沙和尚、小白龙、猪八戒,"上次未提交作业的学生名单如下：

| 学生姓名 | 作业状态   |
|----------|------------|
| 牛魔王   | 未提交     |
| 小白龙   | 未提交     |
| 沙和尚   | 未提交     |
| 猪八戒   | 未提交     |

注意：孙悟空已经提交了作业，因此不在未提交名单中。",,37,是
教师,最近30天"讨论"类活动中零发言的学生,石华祥,是,最近30天没有讨论活动,"从最近的作业、课时和考试活动中，我们没有直接找到与“讨论”类活动相关的信息。这表明讨论活动可能不是通过这些工具中的一种进行管理的。

为了更好地帮助您找到在“讨论”类活动中零发言的学生，我们需要进一步明确这些讨论是如何组织和记录的。如果讨论是在上述活动（如作业、课时或考试）内进行的，请提供具体的活动名称或ID；或者，如果有其他平台或方式用于讨论，请告知我更多细节。

请确认讨论活动是否与某个特定的作业、课时或考试有关联，或者是通过其他方式进行的。这样我们可以更准确地定位到相关的数据。如果您能提供更多关于讨论活动如何进行的信息，那将非常有帮助。",,15,否
教师,最近一次测验各分数段人数分布,石华祥,是,,,否,,
教师,最近两次考试全班学生成绩提高情况,石华祥,是,,,否,,
教师,统计过去一个月作业活动的参与人数和平均成绩,石华祥,是,过去一个月没有作业活动,"抱歉, 服务过载我无法继续帮助您。请联系管理员老师。",,0,否
教师,"""xx""活动的满分学生作品清单",石华祥,否,,,,,
老师,最近一次测验所有题目的正确率分布,石华祥,是,,,否,,
教师,显示xx活动中所有学生的成绩，从高到低排列,田志伟,是,,,否,,
教师,显示猪八戒在所有作业活动的平均分,田志伟,是,70.8分,"抱歉, 服务过载我无法继续帮助您。请联系管理员老师。",,0,否
教师,查找在"LMS小班课 - 1"课堂活动中猪八戒的举手次数,田志伟,是,0次,不涉及工具调用。,,5,否
教师,统计下"苦哈哈，很头疼！！ - 23"课堂活动中的缺勤情况,田志伟,是,缺勤6人,"在课堂活动 ""苦哈哈，很头疼！！ - 23"" 中，以下是学生的缺勤情况。需要注意的是，这里假定未作答（status：0）即为缺勤：

| 学生姓名 | 状态     |
|--------|--------|
| 孙悟空    | 未作答/缺勤 |
| 猪八戒    | 未作答/缺勤 |
| 沙和尚    | 未作答/缺勤 |
| 小白龙    | 未作答/缺勤 |

从结果来看，所有参与该活动的学生都显示为未作答状态，因此根据这个假设，他们都处于缺勤状态。如果需要更准确的出勤信息，请确认是否有其他标准来定义缺勤。",,12,否
教师,查找"马克思主义"录播课活动中谁的观看进度小于1%,田志伟,是,牛魔王、沙和尚、小白龙,"通过查询，我们找到了DEMO班级中“马克思主义”课程下的所有课时活动。但是，当前的工具无法直接获取录播课的具体观看进度信息。因此，我们无法直接确定哪些学生的观看进度小于1%。

为了更准确地回答您的问题，建议您提供额外的信息或确认是否有其他工具可以查询录播课的观看进度。如果有更多可用资源或工具，请告知，我们将进一步协助您解决问题。",,31,否
教师,查找"站直了别趴下"作业活动中都有谁被打回重做？,田志伟,是,孙悟空,"根据作业 ""站直了别趴下"" 的详情，以下是被打回需要重做的学生名单：

| 学生姓名 | 状态       | 得分   |
|----------|------------|--------|
| 小白龙   | 未提交 (0) | 0.0    |
| 沙和尚   | 未提交 (0) | 90.0   |
| 猪八戒   | 未提交 (0) | 100.0  |
| 孙悟空   | 未提交 (0) | 80.0   |

根据状态码说明（status：0=未提交,1=已提交,2=已批阅,3=需订正），所有学生的状态均为“未提交”。这里列出的所有学生理论上都没有提交作业，因此谈不上被打回重做。如果您的意图是找出没有提交作业的学生，那么以上就是名单。

如果有任何疑问或需要进一步的帮助，请告知。",,24,否
教师,统计下猪八戒补交作业的次数,田志伟,是,3次,"抱歉, 服务过载我无法继续帮助您。请联系管理员老师。",,0,否
教师,查找"写一篇小作文"作业活动中都有谁被评为了优秀作业？,田志伟,是,孙悟空,"根据作业“写一篇小作文”的完成情况，以下是被评为了优秀作业（分数为88及以上）的学生名单：

| 学生姓名 | 成绩 |
| --- | --- |
| 孙悟空 | 88.0 |

注意：这里仅列出成绩达到或超过88分的学生，即被认为优秀作业的标准。",,16,否
教师,帮我统计下xx测验活动中每道题的正确率,田志伟,是,,,否,,
教师,查找下xx学生得分低于60分都有哪些活动？,田志伟,否,,,,,
教师,查找"寒假作业"打卡活动中谁坚持打卡的天数最多？,田志伟,是,孙悟空,"抱歉, 服务过载我无法继续帮助您。请联系管理员老师。",,25,否
教师,本班级内所有学生作业类活动的平均分是多少？,张欢,是,,,否,,
教师,本班级内成绩排名前10的学生名单是什么？,张欢,是,牛魔王、沙和尚、小白龙、猪八戒、孙悟空,"抱歉, 服务过载我无法继续帮助您。请联系管理员老师。",,20,否
教师,本班级内，哪些学生没有参加任何活动？,张欢,是,小白龙、牛魔王,"抱歉, 服务过载我无法继续帮助您。请联系管理员老师。",,0,否
教师,本班级内，某次活动的成绩分布情况如何？,张欢,是,,,否,,
